model_name,attribute,value,citation
Claude,releaseDate,2023-03-14,
Japanese-LM-3.6B,numParams,3600000000.0,
Japanese-LM-3.6B,numTokens,72000000000.0,"650GB per huggingfaceour guide says 111M Japanese words per GB, which would be ~72B wordshttps://docs.google.com/document/d/1G3vvQkn4x_W71MKg0GmHVtzfd9m0y3_Ofcoew0v902Q/edit#heading=h.ieihc08p8dn0"
Japanese-LM-3.6B,gpuType,NVIDIA A100,
Japanese-LM-3.6B,releaseDate,2023-08-14,
GPT-SW3,flops,1.3e+21,"From section 4: ""Training was performed on GPU resources from the Berzelius Superpod, which is currently the fastest supercomputer in Sweden, equipped with 60 Nvidia DGXA100 servers, each of which consists of 8 Nvidia A100GPUs with 320 GB Total GPU memory. Our trainingprocess took 2.5 days utilizing 16 of the DGX A100servers (in total 128 GPUs).""2.5*24*60**2 * 128 * 1.56E+14 * 0.3 = 1.3e21"
GPT-SW3,numParams,3500000000.0,
GPT-SW3,numTokens,16700000000.0,"100GB Swedish corpus, assume Swedish has similar 167M words per GB as German.100*167e6 = 1.67e10"
GPT-SW3,trainingTimeDays,60.0,"""Our training process took 2.5 days utilizing 16 of the DGX A100 servers (in total 128 GPUs)."""
GPT-SW3,gpuType,NVIDIA A100,
GPT-SW3,releaseDate,2022-06-25,
LLaMA-33B,flops,2.7300000000001e+23,1.4T tokens * 32.5B params * 6 FLOP/token/param = 2.73e+23 FLOP
LLaMA-33B,numParams,32500000000.0,
LLaMA-33B,batchSize,4000000.0,
LLaMA-33B,releaseDate,2023-02-27,
LLaMA-33B,batchSize,4000000.0,
LLaMA-65B,flops,5.5e+23,"1.4e12 tokens * 6.52e10 parameters * 6 FLOP/token/parameter = 5.5e23 FLOPCompared to 2048 A100 GPUs each with 311.84 TFLOPS maximum performance for 21 days, this implies 47% utilization.https://www.wolframalpha.com/input?i=5.5*10%5E23+FLOP+%2F+%282048+*+311.84+teraFLOPS+*+21+days%29"
LLaMA-65B,numParams,65200000000.0,
LLaMA-65B,numTokens,1050000000000.0,1.4 trillion tokens * 0.75 words/token = 1.05 trillion words
LLaMA-65B,batchSize,4000000.0,
LLaMA-65B,costDollars,1179384.75,"1023384 processor-hours on A100 GPUs. May 2023 cost rate is $1.36/GPU-hour on Azure ML cloud. https://azure.microsoft.com/en-us/pricing/details/machine-learning/ According to https://www.bls.gov/data/inflation_calculator.htm, $1.18 in May 2023 = $1.00 in January 2020.$1391674 / 1.18 = $1179385 in 2020 USD."
LLaMA-65B,trainingTimeDays,500.0,"""When training a 65B-parameter model, our code processes around 380 tokens/sec/GPU on 2048 A100 GPU with 80GB of RAM. This means that training over our dataset containing 1.4T tokens takes approximately 21 days."""
LLaMA-65B,gpuCount,2048.0,
LLaMA-65B,gpuType,NVIDIA A100,
LLaMA-65B,gpuUtilization,0.4746,
LLaMA-65B,releaseDate,2023-02-24,
LLaMA-65B,batchSize,4000000.0,
Falcon 180B,flops,3.76e+24,"43,500 petaflop-days per Table 1 of the paper43500 * 1e15 * 24 * 3600 = 3.76e24C = 6ND = 6 FLOP/token/parameter * 3.5 trillion tokens * 180 billion parameters = 3.78*10^24 FLOP"
Falcon 180B,numParams,180000000000.0,
Falcon 180B,numTokens,2625000000000.0,3.5 trillion tokens * (~3 words per 4 tokens) ~= 2.625 trillion words
Falcon 180B,batchSize,4194304.0,
Falcon 180B,trainingTimeDays,4320.0,"Stanford CRFM foundation model ecosystem graph data page https://crfm.stanford.edu/ecosystem-graphs/index.html?asset=Falcon-180B says 9 months, which is the maximum possible amount of time: training began sometime in 2023, and it was released in September. However, 6 months is more realistic. That is the length of the gap between Falcon 40B and Falcon 180B. Additionally, the amount of compute is specified in the paper, so there is only one degree of freedom in the uncertain values of training duration and hardware utilization rate. At six months, the utilization is unusually low, so the training was probably not longer than that."
Falcon 180B,gpuCount,4096.0,
Falcon 180B,gpuType,NVIDIA A100 SXM4 40 GB,
Falcon 180B,gpuUtilization,0.1876,
Falcon 180B,releaseDate,2023-09-06,
Falcon 180B,batchSize,4194304.0,"from paper (https://arxiv.org/pdf/2311.16867.pdf):Batch size 2048 (presumably sequences) per Table 16. Warmed up using smaller batches for first 100B tokens.""All Falcon models are pretrained with a 2,048 sequence length""2048*2048 = 4194304"
BloombergGPT,flops,2.36e+23,"2.36e23 per Table 4(using our usual hardware method, 512 A100s over 53 days would be 512 * 312 teraFLOP/s * 53 * 24 * 3600 * 0.3 = 2.19e23)"
BloombergGPT,numParams,50558868480.0,
BloombergGPT,numTokens,532000000000.0,"708.9 billion tokens. At 0.75 English words per token, that's 532B words"
BloombergGPT,batchSize,4200000.0,
BloombergGPT,trainingTimeDays,1270.0,"""~53 days"""
BloombergGPT,gpuCount,512.0,
BloombergGPT,gpuType,NVIDIA A100,
BloombergGPT,gpuUtilization,0.32,
BloombergGPT,releaseDate,2023-03-30,
BloombergGPT,batchSize,4200000.0,"""in the first 7,200 steps, we use a batch size of 1,024 (2.1M tokens), then switch to a batch size of 2,048 (4.2M tokens) for the remainder of training."""
StableLM-Base-Alpha-7B,flops,4.5e+22,"""StableLM-Base-Alpha-7B-v2 is pre-trained using a multi-stage context length extension schedule following similar work (Nijkamp et al. 2023); first pre-training at a context length of 2048 for 1 trillion tokens, then fine-tuning at a context length of 4096 for another 100B tokens""6890209280 params * 1.1 trillion tokens * 6 = 4.5e22alternatively: ""StableLM-Base-Alpha-7B-v2 was trained on the Stability AI cluster - occupying 384 NVIDIA A100 40GB GPUs across AWS P4d instances. Training took approximately 16.33 days to complete across both stages.""312 teraflops * 384 * 16.33 * 24 * 3600 * 0.3 = 5.07e22"
StableLM-Base-Alpha-7B,numParams,6890209280.0,
StableLM-Base-Alpha-7B,numTokens,750000000000.0,1 trillion tokens
StableLM-Base-Alpha-7B,trainingTimeDays,392.0,16.33 days
